6 months,6 Monate,
ABSENT,ABWESEND,
About,ber,
Absent,abwesend,
Account,Konto,
Active,aktiv,
Address Line 1,Adresszeile 1,
Address Line 2,Adresszeile 2,
Address Name,Adressname,
Adendum to Previous Lease,Nachtrag zum vorherigen Mietvertrag,
Advance RECD in 2019,Vorauszahlung im Jahr 2019 erhalten,
Agreement End Date,Datum Vertragsende,
Agreement Start Date,Datum Vertragsbeginn,
Agreement Status,Vertragsstatus,
All Property,Alle Immobilien,
Amended From,Geändert von,
Amenity Name,Ausstattungsname,
Amount,Betrag,
Annually,Jährlich,
Apartment No,Wohnungsnummer,
Apartment No.,Wohnungsnummer,
Apartment Status,Wohnungsstatus,
Apps,Apps,
Area,Bereich,
Area Name,Bereichsname,
Areas for Checklist Checkup.,Bereiche für Checkliste Überprüfung,
Asset,Vermögenswert,
Attendance Details,Teilnahmedetails,
Available,Verfügbar,
BHK,BHK,
Batch No,Chargennummer,
Bbq area,Grillbereich,
Bedroom,Schlafzimmer,
Bi-Monthly,Zweimonatlich,
Bill,Rechnung,
Booked,Gebucht,
Built-up Area,Bebaute Fläche,
Builtup Area,Bebaute Fläche,
Builtup area,Bebaute Fläche,
By Landlord,vom Vermieter,
By Lessee,vom Mieter,
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Kann den Gebührentyp nicht als 'auf vorherigen Zeilenbetrag' oder 'auf vorherige Zeilensumme' für die erste Zeile auswählen,
Carper Area,Teppichfläche,
Carpet Area,Teppichfläche,
Carpet area,Teppichfläche,
Cashier Closing,Kassenschluss,
Charge Rate,Gebührensatz,
Charge basis,Gebehrenbasis,
Checklist Checkup Area,Checkliste Überprüfungsbereich,
Checklist Checkup Area Task,Checkliste Überprüfungsbereich Aufgabe,
Checklist Task,Checklistenaufgabe,
Checkup Date,Datum überprüfen,
City,Stadt,
Client,Kunde,
Closed,geschlossen,
Closed before starting long process!,Geschlossen vor Beginn des langen Prozesses!,
Club house,Clubhaus,
Color Code,Farbcode,
Common Area (Not for lease),Allgemeinbereich (nicht zur Vermietung),
Common bathroom,Gemeinschaftsbad,
Company,Unternehmen,
Consultant,Berater,
Contact Number,Kontaktnummer,
Cost Center,Kostenstelle,
Cover Document,Deckblatt,
Create a new Customer,Einen neuen Kunden erstellen,
Currency,Währung,
Currency Code,Währungscode,
Current Meter Reading,Aktueller Zählerstand,
Custom Error Log,Benutzerdefiniertes Fehlerprotokoll,
Customer,Kunde,
Customer Feedback,Kundenfeedback,
Customer Name,Kundenname,
Customer POS Id,Kunden-POS-ID,
DAY OFF,Freier Tag,
DESCRIPTION,Beschreibung,
Daily Checklist,Tägliche Checkliste,
Daily Checklist Detail,Detail der täglichen Checkliste,
Damage Charge Item,Schadensgebühr,
Date,Datum,
Date to invoice,Rechnungsdatum,
Datetime taken,Datum und Uhrzeit genommen,
Day,Tag,
Day off,Freier Tag,
Days to invoice in advance,Tage im Voraus zu fakturieren,
Deactivation Date,Deaktivierungsdatum,
Default Maintenance Tax Template,Standard-Wartungssteuervorlage,
Default Tax Account Head,Standard-Steuerkontenleiter,
Default Tax Template,Standard-Steuervorlage,
Default warehouse is required for selected item,für ausgewählten Artikel ist ein Standardlager erforderlich,
Defect Found,Mangel gefunden,
Delete permanently?,endgültig löschen?,
Description,Beschreibung,
Disabled,Deaktiviert,
Discount amount cannot be greater than 100%,Rabattbetrag darf nicht größer als 100% sein,
Do not create invoice,Keine Rechnung erstellen,
Document Reminders,Dokumentenerinnerungen,
Document Type,Dokumenttyp,
Documentation,Dokumentation,
Door,Tür,
Door Type,Türtyp,
Door attendant,Türsteher,
Duplicate of,Duplikat von,
East,Osten,
Effective Date,Gültigkeitsdatum,
Elevator,Aufzug,
Email,E-Mail,
Email Id,E-Mail-ID,
End Date,Enddatum,
Enter value must be positive,Wert muss positiv sein,
Error,Fehler,
Existing stock quantity of item ${item.item} is ${sle_qty} not enough,Vorhandene Lagerbestandsmenge ${sle_qty} des Artikels ${item.item} ist nicht ausreichend,
Exit,Ausgang,
Exit Details,Ausgangsdetails,
Exit Type,Ausgangstyp,
Expiration Date,Ablaufdatum,
Expiry,Ablauf,
Extand,erweitern,
Exterior Color,Außenfarbe,
Facing,Ausrichtung,
Final Security Received Payment,Endgültige Kautionszahlung erhalten,
Final Security Returned Reference,Endgültige Kaution Rückgabe-Referenz,
Fit out Period,Einrichtungszeitraum,
Fitness center,Fitnesscenter,
Floor Maintenance Supervisor,Wartung Verantwortlicher für die Etage,
Flooring,Bodenbelag,
Flooring Type,Bodenbelagstyp,
Frappe School,Frappe Schule,
Frappe Support,Frappe Support,
Frequency,Frequenz,
From,von,
From Date,von Datum,
From Month,on Monat,
Full Name,Vollständiger Name,
Furnished,möbliert,
GUARD NAME,Wchtername,
Generate Pending Invoice,Ausstehende Rechnung generieren,
Group Maintenance Job Items,Gruppenwartungsaufgabenartikel,
Guard EmpID,Wächter-Mitarbeiter-ID,
Guard Name,Wächtername,
Guard Shift,Wachterschicht,
Guard Shift Location,Wächterschichtstandort,
Hot tub,Whirlpool,
ID No.,ID-Nr.,
IDENTIFICATION,Identifikation,
If the item requires Gas or Electricity or similar meter reading to charge the customer.,Wenn der Artikel für die Berechnung an den Kunden eine Ablesung des Gas- oder Stromzählers (oder Ähnliche) benötigt.,
In,in,
In unit laundry,Waschmaschine in der Mieteinheit,
Inactive,inaktiv,
Information about all properties in the system,Informationen über alle Immobilien im System,
Initial Meter Reading,Erste Zählerablesung,
Initial Reading,Erste Ablesung,
Inside Color,Innenfarbe,
Installation Date,Installationsdatum,
Insurance,Versicherung,
Insurance Provider,Versicherungsanbieter,
Insurance Type,Versicherungstyp,
Invoice Amount,Rechnungsbetrag,
Invoice Customer,Rechnungskunde,
Invoice Item Group,Rechnungspositionsgruppe,
Invoice No.,Rechnungsnr.,
Invoice Number,Rechnungsnummer,
Invoice Schedule,Rechnungsplan,
Invoice Start Date,Rechnungsbeginn,
Invoice number,Rechnungsnummer,
Invoiced,in Rechnung gestellt,
Is Group,ist Gruppe,
Is POS,ist Verkaufsstelle,
Issue Materials Billed,ausgestellte Materialien in Rechnung gestellt,
